Trace1,
Freq,,Amp,,
                   0,Hz,               -2.84, dBm,
              334041,Hz,               -2.86, dBm,
              668082,Hz,               -6.01, dBm,
             1002123,Hz,              -16.71, dBm,
             1336164,Hz,              -20.59, dBm,
             1670205,Hz,              -21.53, dBm,
             2004246,Hz,              -20.80, dBm,
             2338287,Hz,              -20.71, dBm,
             2672328,Hz,              -20.53, dBm,
             3006369,Hz,              -20.82, dBm,
             3340410,Hz,              -20.67, dBm,
             3674451,Hz,              -21.42, dBm,
             4008492,Hz,              -21.40, dBm,
             4342533,Hz,              -21.33, dBm,
             4676574,Hz,              -21.08, dBm,
             5010615,Hz,              -21.04, dBm,
             5344656,Hz,              -21.05, dBm,
             5678697,Hz,              -20.93, dBm,
             6012738,Hz,              -20.89, dBm,
             6346779,Hz,              -20.86, dBm,
             6680820,Hz,              -20.81, dBm,
             7014861,Hz,              -20.81, dBm,
             7348902,Hz,              -20.80, dBm,
             7682943,Hz,              -20.76, dBm,
             8016984,Hz,              -20.76, dBm,
             8351025,Hz,              -20.78, dBm,
             8685066,Hz,              -20.79, dBm,
             9019107,Hz,              -20.75, dBm,
             9353148,Hz,              -20.72, dBm,
             9687189,Hz,              -20.75, dBm,
            10021230,Hz,              -20.72, dBm,
            10355271,Hz,              -20.75, dBm,
            10689312,Hz,              -20.69, dBm,
            11023353,Hz,              -20.71, dBm,
            11357394,Hz,              -20.73, dBm,
            11691435,Hz,              -20.75, dBm,
            12025476,Hz,              -20.76, dBm,
            12359517,Hz,              -20.88, dBm,
            12693558,Hz,              -20.85, dBm,
            13027599,Hz,              -20.90, dBm,
            13361640,Hz,              -20.82, dBm,
            13695681,Hz,              -20.79, dBm,
            14029722,Hz,              -20.77, dBm,
            14363763,Hz,              -20.80, dBm,
            14697804,Hz,              -20.83, dBm,
            15031845,Hz,              -20.83, dBm,
            15365886,Hz,              -20.86, dBm,
            15699927,Hz,              -20.83, dBm,
            16033968,Hz,              -20.86, dBm,
            16368009,Hz,              -20.83, dBm,
            16702050,Hz,              -20.79, dBm,
            17036091,Hz,              -20.79, dBm,
            17370132,Hz,              -20.71, dBm,
            17704173,Hz,              -20.82, dBm,
            18038214,Hz,              -20.83, dBm,
            18372255,Hz,              -20.84, dBm,
            18706296,Hz,              -20.80, dBm,
            19040337,Hz,              -20.86, dBm,
            19374378,Hz,              -20.86, dBm,
            19708419,Hz,              -20.87, dBm,
            20042460,Hz,              -20.88, dBm,
            20376501,Hz,              -20.86, dBm,
            20710542,Hz,              -20.89, dBm,
            21044583,Hz,              -20.91, dBm,
            21378624,Hz,              -20.92, dBm,
            21712665,Hz,              -20.90, dBm,
            22046706,Hz,              -20.93, dBm,
            22380747,Hz,              -20.96, dBm,
            22714788,Hz,              -20.94, dBm,
            23048829,Hz,              -20.98, dBm,
            23382870,Hz,              -21.01, dBm,
            23716911,Hz,              -21.00, dBm,
            24050952,Hz,              -21.00, dBm,
            24384993,Hz,              -21.00, dBm,
            24719034,Hz,              -21.05, dBm,
            25053075,Hz,              -21.06, dBm,
            25387116,Hz,              -21.08, dBm,
            25721157,Hz,              -21.11, dBm,
            26055198,Hz,              -21.13, dBm,
            26389239,Hz,              -21.09, dBm,
            26723280,Hz,              -21.16, dBm,
            27057321,Hz,              -21.12, dBm,
            27391362,Hz,              -21.21, dBm,
            27725403,Hz,              -21.23, dBm,
            28059444,Hz,              -21.21, dBm,
            28393485,Hz,              -21.21, dBm,
            28727526,Hz,              -21.27, dBm,
            29061567,Hz,              -21.26, dBm,
            29395608,Hz,              -21.26, dBm,
            29729649,Hz,              -21.32, dBm,
            30063690,Hz,              -21.26, dBm,
            30397731,Hz,              -21.29, dBm,
            30731772,Hz,              -21.35, dBm,
            31065813,Hz,              -21.34, dBm,
            31399854,Hz,              -21.35, dBm,
            31733895,Hz,              -21.35, dBm,
            32067936,Hz,              -21.32, dBm,
            32401977,Hz,              -21.36, dBm,
            32736018,Hz,              -21.38, dBm,
            33070059,Hz,              -21.42, dBm,
            33404100,Hz,              -21.33, dBm,
            33738141,Hz,              -21.42, dBm,
            34072182,Hz,              -21.40, dBm,
            34406223,Hz,              -21.43, dBm,
            34740264,Hz,              -21.43, dBm,
            35074305,Hz,              -21.47, dBm,
            35408346,Hz,              -21.41, dBm,
            35742387,Hz,              -21.44, dBm,
            36076428,Hz,              -21.44, dBm,
            36410469,Hz,              -21.47, dBm,
            36744510,Hz,              -21.51, dBm,
            37078551,Hz,              -21.48, dBm,
            37412592,Hz,              -21.51, dBm,
            37746633,Hz,              -21.56, dBm,
            38080674,Hz,              -21.53, dBm,
            38414715,Hz,              -21.61, dBm,
            38748756,Hz,              -21.65, dBm,
            39082797,Hz,              -21.63, dBm,
            39416838,Hz,              -21.67, dBm,
            39750879,Hz,              -21.70, dBm,
            40084920,Hz,              -21.70, dBm,
            40418961,Hz,              -21.73, dBm,
            40753002,Hz,              -21.75, dBm,
            41087043,Hz,              -21.77, dBm,
            41421084,Hz,              -21.75, dBm,
            41755125,Hz,              -21.82, dBm,
            42089166,Hz,              -21.84, dBm,
            42423207,Hz,              -21.88, dBm,
            42757248,Hz,              -21.85, dBm,
            43091289,Hz,              -21.87, dBm,
            43425330,Hz,              -21.95, dBm,
            43759371,Hz,              -22.02, dBm,
            44093412,Hz,              -21.95, dBm,
            44427453,Hz,              -22.02, dBm,
            44761494,Hz,              -22.07, dBm,
            45095535,Hz,              -22.06, dBm,
            45429576,Hz,              -22.07, dBm,
            45763617,Hz,              -22.16, dBm,
            46097658,Hz,              -22.20, dBm,
            46431699,Hz,              -22.21, dBm,
            46765740,Hz,              -22.20, dBm,
            47099781,Hz,              -22.26, dBm,
            47433822,Hz,              -22.34, dBm,
            47767863,Hz,              -22.28, dBm,
            48101904,Hz,              -22.36, dBm,
            48435945,Hz,              -22.43, dBm,
            48769986,Hz,              -22.50, dBm,
            49104027,Hz,              -22.46, dBm,
            49438068,Hz,              -22.59, dBm,
            49772109,Hz,              -22.62, dBm,
            50106150,Hz,              -22.65, dBm,
            50440191,Hz,              -22.77, dBm,
            50774232,Hz,              -22.84, dBm,
            51108273,Hz,              -22.93, dBm,
            51442314,Hz,              -22.92, dBm,
            51776355,Hz,              -23.02, dBm,
            52110396,Hz,              -23.11, dBm,
            52444437,Hz,              -23.19, dBm,
