Trace1,
Freq,,Amp,,
                   0,Hz,               -1.77, dBm,
              414653,Hz,               -2.49, dBm,
              829306,Hz,              -11.09, dBm,
             1243959,Hz,              -18.15, dBm,
             1658612,Hz,              -20.67, dBm,
             2073265,Hz,              -19.85, dBm,
             2487918,Hz,              -19.77, dBm,
             2902571,Hz,              -19.84, dBm,
             3317224,Hz,              -19.83, dBm,
             3731877,Hz,              -20.55, dBm,
             4146530,Hz,              -20.46, dBm,
             4561183,Hz,              -20.43, dBm,
             4975836,Hz,              -20.35, dBm,
             5390489,Hz,              -20.14, dBm,
             5805142,Hz,              -20.15, dBm,
             6219795,Hz,              -20.12, dBm,
             6634448,Hz,              -20.13, dBm,
             7049101,Hz,              -20.15, dBm,
             7463754,Hz,              -20.18, dBm,
             7878407,Hz,              -20.20, dBm,
             8293060,Hz,              -20.22, dBm,
             8707713,Hz,              -20.18, dBm,
             9122366,Hz,              -20.32, dBm,
             9537019,Hz,              -20.35, dBm,
             9951672,Hz,              -20.41, dBm,
            10366325,Hz,              -20.43, dBm,
            10780978,Hz,              -20.46, dBm,
            11195631,Hz,              -20.55, dBm,
            11610284,Hz,              -20.60, dBm,
            12024937,Hz,              -20.66, dBm,
            12439590,Hz,              -20.85, dBm,
            12854243,Hz,              -20.88, dBm,
            13268896,Hz,              -20.96, dBm,
            13683549,Hz,              -21.02, dBm,
            14098202,Hz,              -21.10, dBm,
            14512855,Hz,              -21.30, dBm,
            14927508,Hz,              -21.43, dBm,
            15342161,Hz,              -21.61, dBm,
            15756814,Hz,              -21.74, dBm,
            16171467,Hz,              -21.83, dBm,
            16586120,Hz,              -22.13, dBm,
            17000773,Hz,              -22.24, dBm,
            17415426,Hz,              -22.51, dBm,
            17830079,Hz,              -22.70, dBm,
            18244732,Hz,              -22.88, dBm,
            18659385,Hz,              -23.12, dBm,
            19074038,Hz,              -23.43, dBm,
            19488691,Hz,              -23.84, dBm,
            19903344,Hz,              -24.12, dBm,
            20317997,Hz,              -24.54, dBm,
            20732650,Hz,              -25.01, dBm,
            21147303,Hz,              -25.50, dBm,
            21561956,Hz,              -25.89, dBm,
            21976609,Hz,              -26.63, dBm,
            22391262,Hz,              -27.19, dBm,
            22805915,Hz,              -27.90, dBm,
            23220568,Hz,              -28.93, dBm,
            23635221,Hz,              -29.71, dBm,
            24049874,Hz,              -31.01, dBm,
            24464527,Hz,              -32.25, dBm,
            24879180,Hz,              -33.40, dBm,
            25293833,Hz,              -35.28, dBm,
            25708486,Hz,              -37.60, dBm,
            26123139,Hz,              -41.80, dBm,
            26537792,Hz,              -43.76, dBm,
            26952445,Hz,              -40.81, dBm,
            27367098,Hz,              -36.93, dBm,
            27781751,Hz,              -34.73, dBm,
            28196404,Hz,              -32.34, dBm,
            28611057,Hz,              -30.60, dBm,
            29025710,Hz,              -29.48, dBm,
            29440363,Hz,              -28.53, dBm,
            29855016,Hz,              -27.61, dBm,
            30269669,Hz,              -26.97, dBm,
            30684322,Hz,              -26.16, dBm,
            31098975,Hz,              -25.33, dBm,
            31513628,Hz,              -24.86, dBm,
            31928281,Hz,              -24.31, dBm,
            32342934,Hz,              -23.94, dBm,
            32757587,Hz,              -23.42, dBm,
            33172240,Hz,              -23.13, dBm,
            33586893,Hz,              -22.90, dBm,
            34001546,Hz,              -22.54, dBm,
            34416199,Hz,              -22.25, dBm,
            34830852,Hz,              -22.05, dBm,
            35245505,Hz,              -21.74, dBm,
            35660158,Hz,              -21.54, dBm,
            36074811,Hz,              -21.37, dBm,
            36489464,Hz,              -21.23, dBm,
            36904117,Hz,              -21.11, dBm,
            37318770,Hz,              -20.92, dBm,
            37733423,Hz,              -20.75, dBm,
            38148076,Hz,              -20.70, dBm,
            38562729,Hz,              -20.65, dBm,
            38977382,Hz,              -20.47, dBm,
            39392035,Hz,              -20.45, dBm,
            39806688,Hz,              -20.33, dBm,
            40221341,Hz,              -20.28, dBm,
            40635994,Hz,              -20.22, dBm,
            41050647,Hz,              -20.13, dBm,
            41465300,Hz,              -20.09, dBm,
            41879953,Hz,              -19.99, dBm,
            42294606,Hz,              -20.02, dBm,
            42709259,Hz,              -19.99, dBm,
            43123912,Hz,              -19.96, dBm,
            43538565,Hz,              -19.97, dBm,
            43953218,Hz,              -19.92, dBm,
            44367871,Hz,              -19.93, dBm,
            44782524,Hz,              -19.94, dBm,
            45197177,Hz,              -19.91, dBm,
            45611830,Hz,              -19.86, dBm,
            46026483,Hz,              -19.97, dBm,
            46441136,Hz,              -19.98, dBm,
            46855789,Hz,              -19.96, dBm,
            47270442,Hz,              -19.90, dBm,
            47685095,Hz,              -20.00, dBm,
            48099748,Hz,              -19.95, dBm,
            48514401,Hz,              -20.03, dBm,
            48929054,Hz,              -20.05, dBm,
            49343707,Hz,              -20.09, dBm,
            49758360,Hz,              -20.02, dBm,
            50173013,Hz,              -20.20, dBm,
            50587666,Hz,              -20.25, dBm,
            51002319,Hz,              -20.31, dBm,
            51416972,Hz,              -20.50, dBm,
            51831625,Hz,              -20.71, dBm,
            52246278,Hz,              -20.86, dBm,
            52660931,Hz,              -21.02, dBm,
            53075584,Hz,              -21.38, dBm,
            53490237,Hz,              -21.60, dBm,
            53904890,Hz,              -21.71, dBm,
            54319543,Hz,              -21.52, dBm,
            54734196,Hz,              -21.27, dBm,
            55148849,Hz,              -21.01, dBm,
            55563502,Hz,              -20.87, dBm,
            55978155,Hz,              -20.78, dBm,
            56392808,Hz,              -20.52, dBm,
            56807461,Hz,              -20.53, dBm,
            57222114,Hz,              -20.49, dBm,
            57636767,Hz,              -20.46, dBm,
            58051420,Hz,              -20.53, dBm,
            58466073,Hz,              -20.53, dBm,
            58880726,Hz,              -20.62, dBm,
            59295379,Hz,              -20.67, dBm,
            59710032,Hz,              -20.78, dBm,
            60124685,Hz,              -21.00, dBm,
            60539338,Hz,              -21.16, dBm,
            60953991,Hz,              -21.39, dBm,
            61368644,Hz,              -21.55, dBm,
            61783297,Hz,              -21.82, dBm,
            62197950,Hz,              -22.15, dBm,
            62612603,Hz,              -22.30, dBm,
            63027256,Hz,              -22.60, dBm,
            63441909,Hz,              -22.95, dBm,
            63856562,Hz,              -23.29, dBm,
            64271215,Hz,              -23.53, dBm,
            64685868,Hz,              -23.65, dBm,
            65100521,Hz,              -23.82, dBm,
            65515174,Hz,              -23.77, dBm,
            65929827,Hz,              -23.79, dBm,
            66344480,Hz,              -23.91, dBm,
            66759133,Hz,              -23.80, dBm,
            67173786,Hz,              -23.98, dBm,
            67588439,Hz,              -23.89, dBm,
            68003092,Hz,              -23.93, dBm,
            68417745,Hz,              -24.02, dBm,
            68832398,Hz,              -24.39, dBm,
            69247051,Hz,              -24.88, dBm,
            69661704,Hz,              -25.65, dBm,
            70076357,Hz,              -26.76, dBm,
            70491010,Hz,              -27.71, dBm,
            70905663,Hz,              -28.51, dBm,
            71320316,Hz,              -28.21, dBm,
            71734969,Hz,              -27.48, dBm,
            72149622,Hz,              -26.40, dBm,
            72564275,Hz,              -25.60, dBm,
            72978928,Hz,              -25.07, dBm,
            73393581,Hz,              -24.43, dBm,
            73808234,Hz,              -24.07, dBm,
            74222887,Hz,              -23.63, dBm,
            74637540,Hz,              -23.51, dBm,
            75052193,Hz,              -23.33, dBm,
            75466846,Hz,              -23.28, dBm,
            75881499,Hz,              -23.25, dBm,
            76296152,Hz,              -23.17, dBm,
            76710805,Hz,              -23.19, dBm,
            77125458,Hz,              -23.19, dBm,
            77540111,Hz,              -23.23, dBm,
            77954764,Hz,              -23.13, dBm,
            78369417,Hz,              -23.06, dBm,
            78784070,Hz,              -22.88, dBm,
            79198723,Hz,              -22.71, dBm,
            79613376,Hz,              -22.54, dBm,
            80028029,Hz,              -22.24, dBm,
            80442682,Hz,              -21.94, dBm,
            80857335,Hz,              -21.80, dBm,
            81271988,Hz,              -21.71, dBm,
            81686641,Hz,              -21.64, dBm,
            82101294,Hz,              -21.52, dBm,
            82515947,Hz,              -21.56, dBm,
            82930600,Hz,              -21.59, dBm,
            83345253,Hz,              -21.64, dBm,
            83759906,Hz,              -21.61, dBm,
            84174559,Hz,              -21.62, dBm,
            84589212,Hz,              -21.65, dBm,
            85003865,Hz,              -21.65, dBm,
            85418518,Hz,              -21.64, dBm,
            85833171,Hz,              -21.79, dBm,
            86247824,Hz,              -21.82, dBm,
            86662477,Hz,              -21.83, dBm,
            87077130,Hz,              -21.87, dBm,
            87491783,Hz,              -21.72, dBm,
            87906436,Hz,              -21.87, dBm,
            88321089,Hz,              -21.82, dBm,
            88735742,Hz,              -21.76, dBm,
            89150395,Hz,              -21.72, dBm,
            89565048,Hz,              -21.74, dBm,
            89979701,Hz,              -21.86, dBm,
            90394354,Hz,              -21.84, dBm,
            90809007,Hz,              -21.91, dBm,
            91223660,Hz,              -21.96, dBm,
            91638313,Hz,              -22.01, dBm,
            92052966,Hz,              -22.03, dBm,
            92467619,Hz,              -22.22, dBm,
            92882272,Hz,              -22.28, dBm,
            93296925,Hz,              -22.40, dBm,
            93711578,Hz,              -22.60, dBm,
            94126231,Hz,              -22.66, dBm,
            94540884,Hz,              -22.77, dBm,
            94955537,Hz,              -22.88, dBm,
            95370190,Hz,              -23.01, dBm,
            95784843,Hz,              -23.04, dBm,
            96199496,Hz,              -23.21, dBm,
            96614149,Hz,              -23.36, dBm,
            97028802,Hz,              -23.41, dBm,
            97443455,Hz,              -23.69, dBm,
            97858108,Hz,              -23.71, dBm,
            98272761,Hz,              -24.03, dBm,
            98687414,Hz,              -24.29, dBm,
            99102067,Hz,              -24.59, dBm,
            99516720,Hz,              -24.93, dBm,
            99931373,Hz,              -25.61, dBm,
           100346026,Hz,              -26.24, dBm,
           100760679,Hz,              -27.05, dBm,
           101175332,Hz,              -27.82, dBm,
           101589985,Hz,              -28.58, dBm,
           102004638,Hz,              -29.00, dBm,
           102419291,Hz,              -29.09, dBm,
           102833944,Hz,              -28.82, dBm,
           103248597,Hz,              -28.84, dBm,
           103663250,Hz,              -29.05, dBm,
           104077903,Hz,              -29.02, dBm,
           104492556,Hz,              -29.07, dBm,
           104907209,Hz,              -28.63, dBm,
           105321862,Hz,              -28.14, dBm,
           105736515,Hz,              -27.59, dBm,
           106151168,Hz,              -26.78, dBm,
           106565821,Hz,              -26.36, dBm,
           106980474,Hz,              -25.89, dBm,
           107395127,Hz,              -25.35, dBm,
           107809780,Hz,              -24.82, dBm,
           108224433,Hz,              -24.60, dBm,
           108639086,Hz,              -24.17, dBm,
           109053739,Hz,              -23.86, dBm,
           109468392,Hz,              -23.50, dBm,
           109883045,Hz,              -23.38, dBm,
           110297698,Hz,              -23.15, dBm,
           110712351,Hz,              -23.09, dBm,
           111127004,Hz,              -22.93, dBm,
           111541657,Hz,              -22.84, dBm,
           111956310,Hz,              -22.68, dBm,
           112370963,Hz,              -22.61, dBm,
           112785616,Hz,              -22.52, dBm,
           113200269,Hz,              -22.36, dBm,
           113614922,Hz,              -22.15, dBm,
           114029575,Hz,              -22.09, dBm,
           114444228,Hz,              -21.92, dBm,
           114858881,Hz,              -21.74, dBm,
           115273534,Hz,              -21.58, dBm,
           115688187,Hz,              -21.42, dBm,
           116102840,Hz,              -21.23, dBm,
           116517493,Hz,              -21.25, dBm,
           116932146,Hz,              -21.08, dBm,
           117346799,Hz,              -21.04, dBm,
           117761452,Hz,              -20.96, dBm,
           118176105,Hz,              -20.90, dBm,
           118590758,Hz,              -20.81, dBm,
           119005411,Hz,              -20.78, dBm,
           119420064,Hz,              -20.70, dBm,
           119834717,Hz,              -20.56, dBm,
           120249370,Hz,              -20.58, dBm,
           120664023,Hz,              -20.56, dBm,
           121078676,Hz,              -20.52, dBm,
           121493329,Hz,              -20.47, dBm,
           121907982,Hz,              -20.42, dBm,
           122322635,Hz,              -20.42, dBm,
           122737288,Hz,              -20.41, dBm,
           123151941,Hz,              -20.30, dBm,
           123566594,Hz,              -20.34, dBm,
           123981247,Hz,              -20.36, dBm,
           124395900,Hz,              -20.30, dBm,
           124810553,Hz,              -20.21, dBm,
           125225206,Hz,              -20.21, dBm,
           125639859,Hz,              -20.21, dBm,
           126054512,Hz,              -20.26, dBm,
           126469165,Hz,              -20.26, dBm,
           126883818,Hz,              -20.22, dBm,
           127298471,Hz,              -20.17, dBm,
           127713124,Hz,              -20.24, dBm,
           128127777,Hz,              -20.16, dBm,
           128542430,Hz,              -20.20, dBm,
           128957083,Hz,              -20.23, dBm,
           129371736,Hz,              -20.24, dBm,
           129786389,Hz,              -20.21, dBm,
           130201042,Hz,              -20.30, dBm,
           130615695,Hz,              -20.34, dBm,
           131030348,Hz,              -20.26, dBm,
           131445001,Hz,              -20.31, dBm,
           131859654,Hz,              -20.35, dBm,
           132274307,Hz,              -20.33, dBm,
           132688960,Hz,              -20.39, dBm,
           133103613,Hz,              -20.48, dBm,
           133518266,Hz,              -20.52, dBm,
           133932919,Hz,              -20.50, dBm,
           134347572,Hz,              -20.51, dBm,
           134762225,Hz,              -20.63, dBm,
           135176878,Hz,              -20.65, dBm,
           135591531,Hz,              -20.63, dBm,
           136006184,Hz,              -20.73, dBm,
           136420837,Hz,              -20.85, dBm,
           136835490,Hz,              -20.98, dBm,
           137250143,Hz,              -21.00, dBm,
           137664796,Hz,              -21.15, dBm,
           138079449,Hz,              -21.27, dBm,
           138494102,Hz,              -21.30, dBm,
           138908755,Hz,              -21.50, dBm,
           139323408,Hz,              -21.57, dBm,
           139738061,Hz,              -21.74, dBm,
           140152714,Hz,              -21.97, dBm,
           140567367,Hz,              -22.13, dBm,
           140982020,Hz,              -22.30, dBm,
           141396673,Hz,              -22.50, dBm,
           141811326,Hz,              -22.82, dBm,
           142225979,Hz,              -23.06, dBm,
           142640632,Hz,              -23.22, dBm,
           143055285,Hz,              -23.62, dBm,
           143469938,Hz,              -24.03, dBm,
           143884591,Hz,              -24.35, dBm,
           144299244,Hz,              -24.65, dBm,
           144713897,Hz,              -25.05, dBm,
           145128550,Hz,              -25.36, dBm,
           145543203,Hz,              -25.62, dBm,
           145957856,Hz,              -25.98, dBm,
           146372509,Hz,              -26.09, dBm,
           146787162,Hz,              -26.29, dBm,
           147201815,Hz,              -26.32, dBm,
           147616468,Hz,              -26.46, dBm,
           148031121,Hz,              -26.40, dBm,
           148445774,Hz,              -26.43, dBm,
           148860427,Hz,              -26.39, dBm,
           149275080,Hz,              -26.46, dBm,
           149689733,Hz,              -26.57, dBm,
           150104386,Hz,              -26.48, dBm,
           150519039,Hz,              -26.78, dBm,
           150933692,Hz,              -26.87, dBm,
           151348345,Hz,              -27.27, dBm,
           151762998,Hz,              -27.80, dBm,
           152177651,Hz,              -28.66, dBm,
           152592304,Hz,              -30.01, dBm,
           153006957,Hz,              -30.90, dBm,
           153421610,Hz,              -31.38, dBm,
           153836263,Hz,              -30.90, dBm,
           154250916,Hz,              -29.95, dBm,
           154665569,Hz,              -29.54, dBm,
           155080222,Hz,              -29.33, dBm,
           155494875,Hz,              -29.00, dBm,
           155909528,Hz,              -29.03, dBm,
           156324181,Hz,              -28.74, dBm,
           156738834,Hz,              -28.78, dBm,
           157153487,Hz,              -28.64, dBm,
           157568140,Hz,              -28.38, dBm,
           157982793,Hz,              -28.00, dBm,
           158397446,Hz,              -27.95, dBm,
           158812099,Hz,              -27.72, dBm,
           159226752,Hz,              -27.45, dBm,
           159641405,Hz,              -27.36, dBm,
           160056058,Hz,              -27.16, dBm,
           160470711,Hz,              -27.26, dBm,
           160885364,Hz,              -27.16, dBm,
           161300017,Hz,              -26.99, dBm,
           161714670,Hz,              -26.91, dBm,
           162129323,Hz,              -26.64, dBm,
           162543976,Hz,              -26.34, dBm,
           162958629,Hz,              -25.99, dBm,
           163373282,Hz,              -25.48, dBm,
           163787935,Hz,              -25.19, dBm,
           164202588,Hz,              -24.82, dBm,
           164617241,Hz,              -24.69, dBm,
           165031894,Hz,              -24.22, dBm,
           165446547,Hz,              -23.92, dBm,
           165861200,Hz,              -23.63, dBm,
           166275853,Hz,              -23.39, dBm,
           166690506,Hz,              -23.25, dBm,
           167105159,Hz,              -23.03, dBm,
           167519812,Hz,              -22.69, dBm,
           167934465,Hz,              -22.62, dBm,
           168349118,Hz,              -22.43, dBm,
           168763771,Hz,              -22.24, dBm,
           169178424,Hz,              -22.08, dBm,
           169593077,Hz,              -22.01, dBm,
           170007730,Hz,              -21.91, dBm,
           170422383,Hz,              -21.74, dBm,
           170837036,Hz,              -21.69, dBm,
           171251689,Hz,              -21.51, dBm,
           171666342,Hz,              -21.51, dBm,
           172080995,Hz,              -21.41, dBm,
           172495648,Hz,              -21.37, dBm,
           172910301,Hz,              -21.30, dBm,
           173324954,Hz,              -21.28, dBm,
           173739607,Hz,              -21.19, dBm,
           174154260,Hz,              -21.10, dBm,
           174568913,Hz,              -21.09, dBm,
           174983566,Hz,              -21.05, dBm,
           175398219,Hz,              -21.03, dBm,
           175812872,Hz,              -20.92, dBm,
           176227525,Hz,              -20.95, dBm,
           176642178,Hz,              -20.87, dBm,
           177056831,Hz,              -20.94, dBm,
           177471484,Hz,              -20.92, dBm,
           177886137,Hz,              -20.84, dBm,
           178300790,Hz,              -20.85, dBm,
           178715443,Hz,              -20.82, dBm,
           179130096,Hz,              -20.83, dBm,
           179544749,Hz,              -20.81, dBm,
           179959402,Hz,              -19.83, dBm,
           180374055,Hz,              -19.75, dBm,
           180788708,Hz,              -19.80, dBm,
           181203361,Hz,              -19.79, dBm,
           181618014,Hz,              -19.80, dBm,
