Trace1,
Freq,,Amp,,
                   0,Hz,               -4.62, dBm,
              416595,Hz,               -4.63, dBm,
              833190,Hz,              -13.92, dBm,
             1249785,Hz,              -20.93, dBm,
             1666380,Hz,              -23.51, dBm,
             2082975,Hz,              -22.65, dBm,
             2499570,Hz,              -22.65, dBm,
             2916165,Hz,              -22.61, dBm,
             3332760,Hz,              -22.59, dBm,
             3749355,Hz,              -23.41, dBm,
             4165950,Hz,              -23.31, dBm,
             4582545,Hz,              -23.23, dBm,
             4999140,Hz,              -23.08, dBm,
             5415735,Hz,              -23.05, dBm,
             5832330,Hz,              -22.96, dBm,
             6248925,Hz,              -23.00, dBm,
             6665520,Hz,              -22.99, dBm,
             7082115,Hz,              -22.99, dBm,
             7498710,Hz,              -23.01, dBm,
             7915305,Hz,              -23.01, dBm,
             8331900,Hz,              -23.05, dBm,
             8748495,Hz,              -23.08, dBm,
             9165090,Hz,              -23.10, dBm,
             9581685,Hz,              -23.17, dBm,
             9998280,Hz,              -23.14, dBm,
            10414875,Hz,              -23.26, dBm,
            10831470,Hz,              -23.34, dBm,
            11248065,Hz,              -23.40, dBm,
            11664660,Hz,              -23.36, dBm,
            12081255,Hz,              -23.51, dBm,
            12497850,Hz,              -23.58, dBm,
            12914445,Hz,              -23.69, dBm,
            13331040,Hz,              -23.76, dBm,
            13747635,Hz,              -23.92, dBm,
            14164230,Hz,              -24.01, dBm,
            14580825,Hz,              -24.00, dBm,
            14997420,Hz,              -24.12, dBm,
            15414015,Hz,              -24.38, dBm,
            15830610,Hz,              -24.50, dBm,
            16247205,Hz,              -24.60, dBm,
            16663800,Hz,              -24.80, dBm,
            17080395,Hz,              -24.99, dBm,
            17496990,Hz,              -25.16, dBm,
            17913585,Hz,              -25.38, dBm,
            18330180,Hz,              -25.59, dBm,
            18746775,Hz,              -25.83, dBm,
            19163370,Hz,              -26.04, dBm,
            19579965,Hz,              -26.42, dBm,
            19996560,Hz,              -26.61, dBm,
            20413155,Hz,              -27.07, dBm,
            20829750,Hz,              -27.43, dBm,
            21246345,Hz,              -27.87, dBm,
            21662940,Hz,              -28.23, dBm,
            22079535,Hz,              -28.76, dBm,
            22496130,Hz,              -29.19, dBm,
            22912725,Hz,              -30.12, dBm,
            23329320,Hz,              -30.88, dBm,
            23745915,Hz,              -31.69, dBm,
            24162510,Hz,              -32.60, dBm,
            24579105,Hz,              -33.49, dBm,
            24995700,Hz,              -34.52, dBm,
            25412295,Hz,              -36.14, dBm,
            25828890,Hz,              -37.75, dBm,
            26245485,Hz,              -40.06, dBm,
            26662080,Hz,              -43.41, dBm,
            27078675,Hz,              -48.39, dBm,
            27495270,Hz,              -43.95, dBm,
            27911865,Hz,              -40.48, dBm,
            28328460,Hz,              -38.90, dBm,
            28745055,Hz,              -36.66, dBm,
            29161650,Hz,              -34.69, dBm,
            29578245,Hz,              -33.45, dBm,
            29994840,Hz,              -32.09, dBm,
            30411435,Hz,              -31.29, dBm,
            30828030,Hz,              -30.21, dBm,
            31244625,Hz,              -29.36, dBm,
            31661220,Hz,              -28.85, dBm,
            32077815,Hz,              -28.26, dBm,
            32494410,Hz,              -27.69, dBm,
            32911005,Hz,              -27.33, dBm,
            33327600,Hz,              -26.86, dBm,
            33744195,Hz,              -26.36, dBm,
            34160790,Hz,              -26.04, dBm,
            34577385,Hz,              -25.65, dBm,
            34993980,Hz,              -25.39, dBm,
            35410575,Hz,              -25.14, dBm,
            35827170,Hz,              -24.87, dBm,
            36243765,Hz,              -24.66, dBm,
            36660360,Hz,              -24.47, dBm,
            37076955,Hz,              -24.33, dBm,
            37493550,Hz,              -24.09, dBm,
            37910145,Hz,              -23.88, dBm,
            38326740,Hz,              -23.87, dBm,
            38743335,Hz,              -23.68, dBm,
            39159930,Hz,              -23.58, dBm,
            39576525,Hz,              -23.51, dBm,
            39993120,Hz,              -23.40, dBm,
            40409715,Hz,              -23.28, dBm,
            40826310,Hz,              -23.19, dBm,
            41242905,Hz,              -23.16, dBm,
            41659500,Hz,              -23.06, dBm,
            42076095,Hz,              -22.97, dBm,
            42492690,Hz,              -22.97, dBm,
            42909285,Hz,              -22.97, dBm,
            43325880,Hz,              -22.90, dBm,
            43742475,Hz,              -22.82, dBm,
            44159070,Hz,              -22.84, dBm,
            44575665,Hz,              -22.83, dBm,
            44992260,Hz,              -22.79, dBm,
            45408855,Hz,              -22.74, dBm,
            45825450,Hz,              -22.74, dBm,
            46242045,Hz,              -22.78, dBm,
            46658640,Hz,              -22.81, dBm,
            47075235,Hz,              -22.73, dBm,
            47491830,Hz,              -22.70, dBm,
            47908425,Hz,              -22.67, dBm,
            48325020,Hz,              -22.67, dBm,
            48741615,Hz,              -22.63, dBm,
            49158210,Hz,              -22.64, dBm,
            49574805,Hz,              -22.64, dBm,
            49991400,Hz,              -22.68, dBm,
            50407995,Hz,              -22.65, dBm,
            50824590,Hz,              -22.66, dBm,
            51241185,Hz,              -22.71, dBm,
            51657780,Hz,              -22.68, dBm,
            52074375,Hz,              -22.72, dBm,
            52490970,Hz,              -22.72, dBm,
            52907565,Hz,              -22.72, dBm,
            53324160,Hz,              -22.75, dBm,
            53740755,Hz,              -22.70, dBm,
            54157350,Hz,              -22.80, dBm,
