Trace1,
Freq,,Amp,,
                   0,Hz,               -1.75, dBm,
              414653,Hz,               -1.78, dBm,
              829306,Hz,              -11.09, dBm,
             1243959,Hz,              -18.15, dBm,
             1658612,Hz,              -20.55, dBm,
             2073265,Hz,              -19.86, dBm,
             2487918,Hz,              -19.73, dBm,
             2902571,Hz,              -19.79, dBm,
             3317224,Hz,              -19.78, dBm,
             3731877,Hz,              -20.53, dBm,
             4146530,Hz,              -20.52, dBm,
             4561183,Hz,              -20.36, dBm,
             4975836,Hz,              -20.25, dBm,
             5390489,Hz,              -20.21, dBm,
             5805142,Hz,              -20.17, dBm,
             6219795,Hz,              -20.20, dBm,
             6634448,Hz,              -20.13, dBm,
             7049101,Hz,              -20.16, dBm,
             7463754,Hz,              -20.19, dBm,
             7878407,Hz,              -20.17, dBm,
             8293060,Hz,              -20.22, dBm,
             8707713,Hz,              -20.22, dBm,
             9122366,Hz,              -20.32, dBm,
             9537019,Hz,              -20.35, dBm,
             9951672,Hz,              -20.45, dBm,
            10366325,Hz,              -20.45, dBm,
            10780978,Hz,              -20.51, dBm,
            11195631,Hz,              -20.60, dBm,
            11610284,Hz,              -20.56, dBm,
            12024937,Hz,              -20.80, dBm,
            12439590,Hz,              -20.86, dBm,
            12854243,Hz,              -20.92, dBm,
            13268896,Hz,              -21.01, dBm,
            13683549,Hz,              -21.20, dBm,
            14098202,Hz,              -21.26, dBm,
            14512855,Hz,              -21.42, dBm,
            14927508,Hz,              -21.54, dBm,
            15342161,Hz,              -21.76, dBm,
            15756814,Hz,              -21.79, dBm,
            16171467,Hz,              -22.09, dBm,
            16586120,Hz,              -22.20, dBm,
            17000773,Hz,              -22.46, dBm,
            17415426,Hz,              -22.70, dBm,
            17830079,Hz,              -22.99, dBm,
            18244732,Hz,              -23.32, dBm,
            18659385,Hz,              -23.62, dBm,
            19074038,Hz,              -23.90, dBm,
            19488691,Hz,              -24.13, dBm,
            19903344,Hz,              -24.70, dBm,
            20317997,Hz,              -25.18, dBm,
            20732650,Hz,              -25.65, dBm,
            21147303,Hz,              -26.00, dBm,
            21561956,Hz,              -26.89, dBm,
            21976609,Hz,              -27.53, dBm,
            22391262,Hz,              -28.24, dBm,
            22805915,Hz,              -29.35, dBm,
            23220568,Hz,              -30.83, dBm,
            23635221,Hz,              -31.99, dBm,
            24049874,Hz,              -33.58, dBm,
            24464527,Hz,              -35.35, dBm,
            24879180,Hz,              -37.42, dBm,
            25293833,Hz,              -40.66, dBm,
            25708486,Hz,              -43.72, dBm,
            26123139,Hz,              -40.21, dBm,
            26537792,Hz,              -37.04, dBm,
            26952445,Hz,              -34.26, dBm,
            27367098,Hz,              -32.74, dBm,
            27781751,Hz,              -30.79, dBm,
            28196404,Hz,              -29.53, dBm,
            28611057,Hz,              -28.34, dBm,
            29025710,Hz,              -27.23, dBm,
            29440363,Hz,              -26.49, dBm,
            29855016,Hz,              -25.72, dBm,
            30269669,Hz,              -25.29, dBm,
            30684322,Hz,              -24.69, dBm,
            31098975,Hz,              -24.03, dBm,
            31513628,Hz,              -23.80, dBm,
            31928281,Hz,              -23.44, dBm,
            32342934,Hz,              -22.99, dBm,
            32757587,Hz,              -22.70, dBm,
            33172240,Hz,              -22.34, dBm,
            33586893,Hz,              -22.16, dBm,
