Trace1,
Freq,,Amp,,
             2449830,Hz,              -22.92, dBm,
             2858135,Hz,              -22.99, dBm,
             3266440,Hz,              -22.90, dBm,
             3674745,Hz,              -23.40, dBm,
             4083050,Hz,              -23.32, dBm,
             4491355,Hz,              -23.22, dBm,
             4899660,Hz,              -23.15, dBm,
             5307965,Hz,              -22.98, dBm,
             5716270,Hz,              -23.01, dBm,
             6124575,Hz,              -22.94, dBm,
             6532880,Hz,              -22.96, dBm,
             6941185,Hz,              -22.93, dBm,
             7349490,Hz,              -22.96, dBm,
             7757795,Hz,              -22.99, dBm,
             8166100,Hz,              -23.02, dBm,
             8574405,Hz,              -22.98, dBm,
             8982710,Hz,              -23.13, dBm,
             9391015,Hz,              -23.17, dBm,
             9799320,Hz,              -23.15, dBm,
            10207625,Hz,              -23.26, dBm,
            10615930,Hz,              -23.31, dBm,
            11024235,Hz,              -23.35, dBm,
            11432540,Hz,              -23.34, dBm,
            11840845,Hz,              -23.53, dBm,
            12249150,Hz,              -23.61, dBm,
            12657455,Hz,              -23.67, dBm,
            13065760,Hz,              -23.82, dBm,
            13474065,Hz,              -23.75, dBm,
            13882370,Hz,              -23.99, dBm,
            14290675,Hz,              -24.09, dBm,
            14698980,Hz,              -24.28, dBm,
            15107285,Hz,              -24.27, dBm,
            15515590,Hz,              -24.47, dBm,
            15923895,Hz,              -24.70, dBm,
            16332200,Hz,              -24.88, dBm,
            16740505,Hz,              -25.09, dBm,
            17148810,Hz,              -25.23, dBm,
            17557115,Hz,              -25.56, dBm,
            17965420,Hz,              -25.72, dBm,
            18373725,Hz,              -25.93, dBm,
            18782030,Hz,              -26.31, dBm,
            19190335,Hz,              -26.66, dBm,
            19598640,Hz,              -26.89, dBm,
            20006945,Hz,              -27.26, dBm,
            20415250,Hz,              -27.78, dBm,
            20823555,Hz,              -28.14, dBm,
            21231860,Hz,              -28.71, dBm,
            21640165,Hz,              -29.18, dBm,
            22048470,Hz,              -29.98, dBm,
            22456775,Hz,              -30.76, dBm,
            22865080,Hz,              -31.55, dBm,
            23273385,Hz,              -32.71, dBm,
            23681690,Hz,              -33.56, dBm,
            24089995,Hz,              -34.88, dBm,
            24498300,Hz,              -36.26, dBm,
            24906605,Hz,              -38.12, dBm,
            25314910,Hz,              -40.46, dBm,
            25723215,Hz,              -44.10, dBm,
            26131520,Hz,              -47.32, dBm,
            26539825,Hz,              -42.90, dBm,
            26948130,Hz,              -40.26, dBm,
            27356435,Hz,              -37.33, dBm,
            27764740,Hz,              -35.44, dBm,
            28173045,Hz,              -33.75, dBm,
            28581350,Hz,              -32.44, dBm,
            28989655,Hz,              -31.45, dBm,
            29397960,Hz,              -30.49, dBm,
            29806265,Hz,              -29.35, dBm,
            30214570,Hz,              -28.80, dBm,
            30622875,Hz,              -28.17, dBm,
            31031180,Hz,              -27.61, dBm,
            31439485,Hz,              -27.17, dBm,
            31847790,Hz,              -26.75, dBm,
            32256095,Hz,              -26.30, dBm,
            32664400,Hz,              -26.07, dBm,
            33072705,Hz,              -25.64, dBm,
            33481010,Hz,              -25.42, dBm,
            33889315,Hz,              -25.06, dBm,
            34297620,Hz,              -24.87, dBm,
            34705925,Hz,              -24.64, dBm,
            35114230,Hz,              -24.39, dBm,
            35522535,Hz,              -24.19, dBm,
            35930840,Hz,              -24.10, dBm,
            36339145,Hz,              -23.98, dBm,
            36747450,Hz,              -23.84, dBm,
            37155755,Hz,              -23.72, dBm,
            37564060,Hz,              -23.55, dBm,
            37972365,Hz,              -23.42, dBm,
            38380670,Hz,              -23.37, dBm,
            38788975,Hz,              -23.32, dBm,
            39197280,Hz,              -23.22, dBm,
            39605585,Hz,              -23.11, dBm,
            40013890,Hz,              -23.03, dBm,
            40422195,Hz,              -22.99, dBm,
            40830500,Hz,              -22.90, dBm,
            41238805,Hz,              -22.88, dBm,
            41647110,Hz,              -22.77, dBm,
            42055415,Hz,              -22.77, dBm,
            42463720,Hz,              -22.69, dBm,
            42872025,Hz,              -22.78, dBm,
            43280330,Hz,              -22.73, dBm,
            43688635,Hz,              -22.73, dBm,
            44096940,Hz,              -22.73, dBm,
            44505245,Hz,              -22.71, dBm,
            44913550,Hz,              -22.69, dBm,
            45321855,Hz,              -22.70, dBm,
            45730160,Hz,              -22.76, dBm,
            46138465,Hz,              -22.76, dBm,
            46546770,Hz,              -22.69, dBm,
            46955075,Hz,              -22.75, dBm,
            47363380,Hz,              -22.78, dBm,
            47771685,Hz,              -22.74, dBm,
            48179990,Hz,              -22.82, dBm,
            48588295,Hz,              -22.88, dBm,
            48996600,Hz,              -22.88, dBm,
            49404905,Hz,              -22.95, dBm,
            49813210,Hz,              -22.98, dBm,
            50221515,Hz,              -23.05, dBm,
            50629820,Hz,              -23.12, dBm,
            51038125,Hz,              -23.10, dBm,
            51446430,Hz,              -23.36, dBm,
            51854735,Hz,              -23.41, dBm,
            52263040,Hz,              -23.68, dBm,
            52671345,Hz,              -24.02, dBm,
            53079650,Hz,              -24.36, dBm,
            53487955,Hz,              -24.78, dBm,
            53896260,Hz,              -25.38, dBm,
            54304565,Hz,              -25.85, dBm,
            54712870,Hz,              -25.75, dBm,
            55121175,Hz,              -25.28, dBm,
            55529480,Hz,              -24.65, dBm,
            55937785,Hz,              -24.15, dBm,
            56346090,Hz,              -23.86, dBm,
            56754395,Hz,              -23.61, dBm,
            57162700,Hz,              -23.49, dBm,
            57571005,Hz,              -23.44, dBm,
            57979310,Hz,              -23.46, dBm,
            58387615,Hz,              -23.44, dBm,
            58795920,Hz,              -23.52, dBm,
            59204225,Hz,              -23.64, dBm,
            59612530,Hz,              -23.79, dBm,
            60020835,Hz,              -23.98, dBm,
            60429140,Hz,              -24.26, dBm,
            60837445,Hz,              -24.56, dBm,
            61245750,Hz,              -24.94, dBm,
            61654055,Hz,              -25.34, dBm,
            62062360,Hz,              -25.47, dBm,
            62470665,Hz,              -25.70, dBm,
            62878970,Hz,              -25.87, dBm,
            63287275,Hz,              -26.38, dBm,
            63695580,Hz,              -26.71, dBm,
            64103885,Hz,              -26.92, dBm,
            64512190,Hz,              -26.92, dBm,
            64920495,Hz,              -27.05, dBm,
            65328800,Hz,              -27.17, dBm,
            65737105,Hz,              -27.18, dBm,
            66145410,Hz,              -27.33, dBm,
            66553715,Hz,              -27.67, dBm,
            66962020,Hz,              -27.71, dBm,
            67370325,Hz,              -27.92, dBm,
            67778630,Hz,              -28.04, dBm,
            68186935,Hz,              -28.37, dBm,
            68595240,Hz,              -28.79, dBm,
            69003545,Hz,              -29.47, dBm,
            69411850,Hz,              -30.10, dBm,
            69820155,Hz,              -30.57, dBm,
            70228460,Hz,              -30.11, dBm,
            70636765,Hz,              -29.58, dBm,
            71045070,Hz,              -28.72, dBm,
            71453375,Hz,              -28.16, dBm,
            71861680,Hz,              -27.47, dBm,
            72269985,Hz,              -26.75, dBm,
            72678290,Hz,              -26.42, dBm,
            73086595,Hz,              -26.09, dBm,
            73494900,Hz,              -25.74, dBm,
            73903205,Hz,              -25.54, dBm,
            74311510,Hz,              -25.53, dBm,
            74719815,Hz,              -25.36, dBm,
            75128120,Hz,              -25.40, dBm,
            75536425,Hz,              -25.29, dBm,
            75944730,Hz,              -25.24, dBm,
            76353035,Hz,              -25.27, dBm,
            76761340,Hz,              -25.08, dBm,
            77169645,Hz,              -25.06, dBm,
            77577950,Hz,              -24.91, dBm,
            77986255,Hz,              -24.71, dBm,
            78394560,Hz,              -24.65, dBm,
            78802865,Hz,              -24.50, dBm,
            79211170,Hz,              -24.30, dBm,
            79619475,Hz,              -24.15, dBm,
            80027780,Hz,              -24.12, dBm,
            80436085,Hz,              -24.00, dBm,
            80844390,Hz,              -23.94, dBm,
            81252695,Hz,              -23.91, dBm,
            81661000,Hz,              -23.84, dBm,
            82069305,Hz,              -23.89, dBm,
            82477610,Hz,              -23.94, dBm,
            82885915,Hz,              -23.98, dBm,
            83294220,Hz,              -24.05, dBm,
            83702525,Hz,              -24.10, dBm,
            84110830,Hz,              -24.12, dBm,
            84519135,Hz,              -24.15, dBm,
            84927440,Hz,              -24.17, dBm,
            85335745,Hz,              -24.18, dBm,
            85744050,Hz,              -24.32, dBm,
            86152355,Hz,              -24.44, dBm,
            86560660,Hz,              -24.52, dBm,
            86968965,Hz,              -24.59, dBm,
            87377270,Hz,              -24.67, dBm,
            87785575,Hz,              -24.71, dBm,
            88193880,Hz,              -24.71, dBm,
            88602185,Hz,              -24.74, dBm,
            89010490,Hz,              -24.76, dBm,
            89418795,Hz,              -24.89, dBm,
            89827100,Hz,              -24.95, dBm,
            90235405,Hz,              -25.02, dBm,
            90643710,Hz,              -25.11, dBm,
            91052015,Hz,              -25.08, dBm,
            91460320,Hz,              -25.17, dBm,
            91868625,Hz,              -25.26, dBm,
            92276930,Hz,              -25.32, dBm,
            92685235,Hz,              -25.45, dBm,
            93093540,Hz,              -25.61, dBm,
            93501845,Hz,              -25.69, dBm,
            93910150,Hz,              -25.81, dBm,
            94318455,Hz,              -25.92, dBm,
            94726760,Hz,              -25.97, dBm,
            95135065,Hz,              -26.03, dBm,
            95543370,Hz,              -26.14, dBm,
            95951675,Hz,              -26.26, dBm,
            96359980,Hz,              -26.39, dBm,
            96768285,Hz,              -26.57, dBm,
            97176590,Hz,              -26.85, dBm,
            97584895,Hz,              -27.06, dBm,
            97993200,Hz,              -27.44, dBm,
            98401505,Hz,              -27.70, dBm,
            98809810,Hz,              -28.15, dBm,
            99218115,Hz,              -28.79, dBm,
            99626420,Hz,              -29.53, dBm,
           100034725,Hz,              -30.23, dBm,
           100443030,Hz,              -31.00, dBm,
           100851335,Hz,              -32.02, dBm,
           101259640,Hz,              -33.09, dBm,
           101667945,Hz,              -33.41, dBm,
           102076250,Hz,              -33.59, dBm,
           102484555,Hz,              -33.62, dBm,
           102892860,Hz,              -33.35, dBm,
           103301165,Hz,              -32.71, dBm,
           103709470,Hz,              -32.19, dBm,
           104117775,Hz,              -31.95, dBm,
           104526080,Hz,              -31.27, dBm,
           104934385,Hz,              -30.70, dBm,
           105342690,Hz,              -29.92, dBm,
           105750995,Hz,              -29.30, dBm,
           106159300,Hz,              -28.74, dBm,
           106567605,Hz,              -28.30, dBm,
           106975910,Hz,              -27.74, dBm,
           107384215,Hz,              -27.28, dBm,
           107792520,Hz,              -26.97, dBm,
           108200825,Hz,              -26.69, dBm,
           108609130,Hz,              -26.30, dBm,
           109017435,Hz,              -26.05, dBm,
           109425740,Hz,              -25.79, dBm,
           109834045,Hz,              -25.71, dBm,
           110242350,Hz,              -25.50, dBm,
           110650655,Hz,              -25.38, dBm,
           111058960,Hz,              -25.38, dBm,
           111467265,Hz,              -25.15, dBm,
           111875570,Hz,              -25.01, dBm,
           112283875,Hz,              -24.96, dBm,
           112692180,Hz,              -24.91, dBm,
           113100485,Hz,              -24.85, dBm,
           113508790,Hz,              -24.68, dBm,
           113917095,Hz,              -24.57, dBm,
           114325400,Hz,              -24.40, dBm,
           114733705,Hz,              -24.37, dBm,
           115142010,Hz,              -24.23, dBm,
           115550315,Hz,              -24.15, dBm,
