Trace1,
Freq,,Amp,,
             2449830,Hz,              -22.91, dBm,
             2858135,Hz,              -23.04, dBm,
             3266440,Hz,              -22.97, dBm,
             3674745,Hz,              -23.48, dBm,
             4083050,Hz,              -23.31, dBm,
             4491355,Hz,              -23.26, dBm,
             4899660,Hz,              -23.14, dBm,
             5307965,Hz,              -23.08, dBm,
             5716270,Hz,              -23.04, dBm,
             6124575,Hz,              -23.03, dBm,
             6532880,Hz,              -23.02, dBm,
             6941185,Hz,              -22.95, dBm,
             7349490,Hz,              -22.98, dBm,
             7757795,Hz,              -23.06, dBm,
             8166100,Hz,              -23.10, dBm,
             8574405,Hz,              -23.08, dBm,
             8982710,Hz,              -23.15, dBm,
             9391015,Hz,              -23.13, dBm,
             9799320,Hz,              -23.26, dBm,
            10207625,Hz,              -23.25, dBm,
            10615930,Hz,              -23.30, dBm,
            11024235,Hz,              -23.34, dBm,
            11432540,Hz,              -23.42, dBm,
            11840845,Hz,              -23.49, dBm,
            12249150,Hz,              -23.62, dBm,
            12657455,Hz,              -23.61, dBm,
            13065760,Hz,              -23.79, dBm,
            13474065,Hz,              -23.89, dBm,
            13882370,Hz,              -23.93, dBm,
            14290675,Hz,              -24.04, dBm,
            14698980,Hz,              -24.13, dBm,
            15107285,Hz,              -24.27, dBm,
            15515590,Hz,              -24.44, dBm,
            15923895,Hz,              -24.59, dBm,
            16332200,Hz,              -24.70, dBm,
            16740505,Hz,              -24.96, dBm,
            17148810,Hz,              -25.00, dBm,
            17557115,Hz,              -25.40, dBm,
            17965420,Hz,              -25.56, dBm,
            18373725,Hz,              -25.83, dBm,
            18782030,Hz,              -26.02, dBm,
            19190335,Hz,              -26.33, dBm,
            19598640,Hz,              -26.65, dBm,
            20006945,Hz,              -26.90, dBm,
            20415250,Hz,              -27.34, dBm,
            20823555,Hz,              -27.75, dBm,
            21231860,Hz,              -28.16, dBm,
            21640165,Hz,              -28.64, dBm,
            22048470,Hz,              -29.18, dBm,
            22456775,Hz,              -29.87, dBm,
            22865080,Hz,              -30.55, dBm,
            23273385,Hz,              -31.49, dBm,
            23681690,Hz,              -32.44, dBm,
            24089995,Hz,              -33.30, dBm,
            24498300,Hz,              -34.42, dBm,
            24906605,Hz,              -35.38, dBm,
            25314910,Hz,              -37.40, dBm,
            25723215,Hz,              -38.92, dBm,
            26131520,Hz,              -42.34, dBm,
            26539825,Hz,              -45.71, dBm,
            26948130,Hz,              -47.01, dBm,
            27356435,Hz,              -41.67, dBm,
            27764740,Hz,              -39.22, dBm,
            28173045,Hz,              -36.96, dBm,
            28581350,Hz,              -35.14, dBm,
            28989655,Hz,              -33.65, dBm,
            29397960,Hz,              -32.41, dBm,
            29806265,Hz,              -31.27, dBm,
            30214570,Hz,              -30.52, dBm,
            30622875,Hz,              -29.70, dBm,
            31031180,Hz,              -29.01, dBm,
            31439485,Hz,              -28.43, dBm,
            31847790,Hz,              -27.97, dBm,
            32256095,Hz,              -27.41, dBm,
            32664400,Hz,              -26.84, dBm,
            33072705,Hz,              -26.57, dBm,
            33481010,Hz,              -26.14, dBm,
            33889315,Hz,              -25.77, dBm,
            34297620,Hz,              -25.59, dBm,
            34705925,Hz,              -25.24, dBm,
            35114230,Hz,              -24.94, dBm,
            35522535,Hz,              -24.73, dBm,
            35930840,Hz,              -24.55, dBm,
            36339145,Hz,              -24.31, dBm,
            36747450,Hz,              -24.23, dBm,
            37155755,Hz,              -24.00, dBm,
            37564060,Hz,              -23.92, dBm,
            37972365,Hz,              -23.76, dBm,
            38380670,Hz,              -23.66, dBm,
            38788975,Hz,              -23.55, dBm,
            39197280,Hz,              -23.37, dBm,
            39605585,Hz,              -23.35, dBm,
            40013890,Hz,              -23.27, dBm,
            40422195,Hz,              -23.19, dBm,
            40830500,Hz,              -23.17, dBm,
            41238805,Hz,              -23.05, dBm,
            41647110,Hz,              -23.03, dBm,
            42055415,Hz,              -22.96, dBm,
            42463720,Hz,              -22.90, dBm,
            42872025,Hz,              -22.89, dBm,
            43280330,Hz,              -22.78, dBm,
            43688635,Hz,              -22.83, dBm,
            44096940,Hz,              -22.83, dBm,
            44505245,Hz,              -22.76, dBm,
            44913550,Hz,              -22.77, dBm,
            45321855,Hz,              -22.77, dBm,
            45730160,Hz,              -22.83, dBm,
            46138465,Hz,              -22.79, dBm,
            46546770,Hz,              -22.80, dBm,
            46955075,Hz,              -22.76, dBm,
            47363380,Hz,              -22.74, dBm,
            47771685,Hz,              -22.78, dBm,
            48179990,Hz,              -22.78, dBm,
            48588295,Hz,              -22.73, dBm,
            48996600,Hz,              -22.79, dBm,
            49404905,Hz,              -22.79, dBm,
            49813210,Hz,              -22.83, dBm,
            50221515,Hz,              -22.80, dBm,
            50629820,Hz,              -22.91, dBm,
            51038125,Hz,              -23.00, dBm,
            51446430,Hz,              -22.99, dBm,
            51854735,Hz,              -23.09, dBm,
            52263040,Hz,              -23.21, dBm,
            52671345,Hz,              -23.37, dBm,
            53079650,Hz,              -23.44, dBm,
            53487955,Hz,              -23.75, dBm,
            53896260,Hz,              -24.01, dBm,
            54304565,Hz,              -24.30, dBm,
            54712870,Hz,              -24.45, dBm,
            55121175,Hz,              -24.27, dBm,
            55529480,Hz,              -23.95, dBm,
            55937785,Hz,              -23.82, dBm,
            56346090,Hz,              -23.60, dBm,
            56754395,Hz,              -23.39, dBm,
            57162700,Hz,              -23.27, dBm,
            57571005,Hz,              -23.17, dBm,
            57979310,Hz,              -23.26, dBm,
            58387615,Hz,              -23.25, dBm,
            58795920,Hz,              -23.26, dBm,
            59204225,Hz,              -23.30, dBm,
            59612530,Hz,              -23.40, dBm,
            60020835,Hz,              -23.49, dBm,
            60429140,Hz,              -23.53, dBm,
            60837445,Hz,              -23.75, dBm,
            61245750,Hz,              -23.93, dBm,
            61654055,Hz,              -24.08, dBm,
            62062360,Hz,              -24.20, dBm,
            62470665,Hz,              -24.44, dBm,
            62878970,Hz,              -24.60, dBm,
            63287275,Hz,              -24.81, dBm,
            63695580,Hz,              -25.02, dBm,
            64103885,Hz,              -25.28, dBm,
            64512190,Hz,              -25.39, dBm,
            64920495,Hz,              -25.56, dBm,
            65328800,Hz,              -25.54, dBm,
            65737105,Hz,              -25.73, dBm,
            66145410,Hz,              -25.88, dBm,
            66553715,Hz,              -26.01, dBm,
            66962020,Hz,              -26.14, dBm,
            67370325,Hz,              -26.10, dBm,
            67778630,Hz,              -26.06, dBm,
            68186935,Hz,              -26.20, dBm,
            68595240,Hz,              -26.35, dBm,
            69003545,Hz,              -26.59, dBm,
            69411850,Hz,              -26.91, dBm,
            69820155,Hz,              -27.50, dBm,
            70228460,Hz,              -28.11, dBm,
            70636765,Hz,              -28.89, dBm,
            71045070,Hz,              -29.76, dBm,
            71453375,Hz,              -30.94, dBm,
            71861680,Hz,              -31.68, dBm,
            72269985,Hz,              -32.02, dBm,
            72678290,Hz,              -31.25, dBm,
