Trace1,
Freq,,Amp,,
                   0,Hz,               -4.67, dBm,
              416595,Hz,               -4.67, dBm,
              833190,Hz,              -14.02, dBm,
             1249785,Hz,              -21.04, dBm,
             1666380,Hz,              -23.53, dBm,
             2082975,Hz,              -22.68, dBm,
             2499570,Hz,              -22.66, dBm,
             2916165,Hz,              -22.73, dBm,
             3332760,Hz,              -22.71, dBm,
             3749355,Hz,              -23.46, dBm,
             4165950,Hz,              -23.40, dBm,
             4582545,Hz,              -23.30, dBm,
             4999140,Hz,              -23.22, dBm,
             5415735,Hz,              -23.13, dBm,
             5832330,Hz,              -23.16, dBm,
             6248925,Hz,              -23.12, dBm,
             6665520,Hz,              -23.07, dBm,
             7082115,Hz,              -23.10, dBm,
             7498710,Hz,              -23.13, dBm,
             7915305,Hz,              -23.09, dBm,
             8331900,Hz,              -23.13, dBm,
             8748495,Hz,              -23.20, dBm,
             9165090,Hz,              -23.31, dBm,
             9581685,Hz,              -23.33, dBm,
             9998280,Hz,              -23.42, dBm,
            10414875,Hz,              -23.51, dBm,
            10831470,Hz,              -23.55, dBm,
            11248065,Hz,              -23.60, dBm,
            11664660,Hz,              -23.74, dBm,
            12081255,Hz,              -23.76, dBm,
            12497850,Hz,              -23.97, dBm,
            12914445,Hz,              -24.10, dBm,
            13331040,Hz,              -24.11, dBm,
            13747635,Hz,              -24.31, dBm,
            14164230,Hz,              -24.50, dBm,
            14580825,Hz,              -24.63, dBm,
            14997420,Hz,              -24.72, dBm,
            15414015,Hz,              -25.02, dBm,
            15830610,Hz,              -25.14, dBm,
            16247205,Hz,              -25.32, dBm,
            16663800,Hz,              -25.69, dBm,
            17080395,Hz,              -25.97, dBm,
            17496990,Hz,              -26.18, dBm,
            17913585,Hz,              -26.64, dBm,
            18330180,Hz,              -26.97, dBm,
            18746775,Hz,              -27.22, dBm,
            19163370,Hz,              -27.85, dBm,
            19579965,Hz,              -28.15, dBm,
            19996560,Hz,              -28.65, dBm,
            20413155,Hz,              -29.46, dBm,
            20829750,Hz,              -30.24, dBm,
            21246345,Hz,              -30.92, dBm,
            21662940,Hz,              -31.88, dBm,
            22079535,Hz,              -32.77, dBm,
            22496130,Hz,              -34.04, dBm,
            22912725,Hz,              -35.92, dBm,
            23329320,Hz,              -37.61, dBm,
            23745915,Hz,              -39.91, dBm,
            24162510,Hz,              -42.15, dBm,
            24579105,Hz,              -43.38, dBm,
            24995700,Hz,              -40.86, dBm,
            25412295,Hz,              -39.20, dBm,
            25828890,Hz,              -36.65, dBm,
            26245485,Hz,              -35.25, dBm,
            26662080,Hz,              -33.64, dBm,
            27078675,Hz,              -32.28, dBm,
            27495270,Hz,              -31.11, dBm,
            27911865,Hz,              -30.31, dBm,
            28328460,Hz,              -29.43, dBm,
            28745055,Hz,              -28.85, dBm,
            29161650,Hz,              -28.22, dBm,
            29578245,Hz,              -27.60, dBm,
            29994840,Hz,              -26.95, dBm,
            30411435,Hz,              -26.58, dBm,
            30828030,Hz,              -26.28, dBm,
            31244625,Hz,              -25.99, dBm,
            31661220,Hz,              -25.76, dBm,
            32077815,Hz,              -25.53, dBm,
            32494410,Hz,              -25.26, dBm,
            32911005,Hz,              -25.07, dBm,
            33327600,Hz,              -24.80, dBm,
            33744195,Hz,              -24.67, dBm,
            34160790,Hz,              -24.43, dBm,
            34577385,Hz,              -24.27, dBm,
            34993980,Hz,              -24.15, dBm,
            35410575,Hz,              -24.04, dBm,
            35827170,Hz,              -23.88, dBm,
            36243765,Hz,              -23.79, dBm,
            36660360,Hz,              -23.65, dBm,
            37076955,Hz,              -23.60, dBm,
            37493550,Hz,              -23.47, dBm,
            37910145,Hz,              -23.46, dBm,
            38326740,Hz,              -23.43, dBm,
            38743335,Hz,              -23.26, dBm,
            39159930,Hz,              -23.32, dBm,
            39576525,Hz,              -23.20, dBm,
            39993120,Hz,              -23.14, dBm,
            40409715,Hz,              -23.16, dBm,
            40826310,Hz,              -23.16, dBm,
            41242905,Hz,              -23.13, dBm,
            41659500,Hz,              -23.07, dBm,
            42076095,Hz,              -23.13, dBm,
            42492690,Hz,              -23.10, dBm,
            42909285,Hz,              -23.08, dBm,
            43325880,Hz,              -23.11, dBm,
            43742475,Hz,              -23.14, dBm,
            44159070,Hz,              -23.22, dBm,
            44575665,Hz,              -23.20, dBm,
            44992260,Hz,              -23.24, dBm,
            45408855,Hz,              -23.30, dBm,
            45825450,Hz,              -23.40, dBm,
            46242045,Hz,              -23.37, dBm,
            46658640,Hz,              -23.37, dBm,
