Trace1,
Freq,,Amp,,
                   0,Hz,               -2.85, dBm,
              334041,Hz,               -2.85, dBm,
              668082,Hz,               -6.00, dBm,
             1002123,Hz,              -16.79, dBm,
             1336164,Hz,              -20.60, dBm,
             1670205,Hz,              -21.53, dBm,
             2004246,Hz,              -20.86, dBm,
             2338287,Hz,              -20.78, dBm,
             2672328,Hz,              -20.62, dBm,
             3006369,Hz,              -20.85, dBm,
             3340410,Hz,              -20.72, dBm,
             3674451,Hz,              -21.47, dBm,
             4008492,Hz,              -21.44, dBm,
             4342533,Hz,              -21.32, dBm,
             4676574,Hz,              -21.20, dBm,
             5010615,Hz,              -21.14, dBm,
             5344656,Hz,              -21.09, dBm,
             5678697,Hz,              -21.00, dBm,
             6012738,Hz,              -20.99, dBm,
             6346779,Hz,              -20.92, dBm,
             6680820,Hz,              -20.92, dBm,
             7014861,Hz,              -20.94, dBm,
             7348902,Hz,              -20.94, dBm,
             7682943,Hz,              -20.90, dBm,
             8016984,Hz,              -20.86, dBm,
             8351025,Hz,              -20.91, dBm,
             8685066,Hz,              -20.89, dBm,
             9019107,Hz,              -20.90, dBm,
             9353148,Hz,              -20.92, dBm,
             9687189,Hz,              -20.87, dBm,
            10021230,Hz,              -20.86, dBm,
            10355271,Hz,              -20.86, dBm,
            10689312,Hz,              -20.93, dBm,
            11023353,Hz,              -20.93, dBm,
            11357394,Hz,              -20.89, dBm,
            11691435,Hz,              -20.99, dBm,
            12025476,Hz,              -20.99, dBm,
            12359517,Hz,              -21.03, dBm,
            12693558,Hz,              -21.06, dBm,
            13027599,Hz,              -21.09, dBm,
            13361640,Hz,              -21.10, dBm,
            13695681,Hz,              -21.08, dBm,
            14029722,Hz,              -21.11, dBm,
            14363763,Hz,              -21.08, dBm,
            14697804,Hz,              -21.07, dBm,
            15031845,Hz,              -21.11, dBm,
            15365886,Hz,              -21.12, dBm,
            15699927,Hz,              -21.16, dBm,
            16033968,Hz,              -21.18, dBm,
            16368009,Hz,              -21.18, dBm,
            16702050,Hz,              -21.21, dBm,
            17036091,Hz,              -21.17, dBm,
            17370132,Hz,              -21.22, dBm,
            17704173,Hz,              -21.25, dBm,
            18038214,Hz,              -21.29, dBm,
            18372255,Hz,              -21.32, dBm,
            18706296,Hz,              -21.36, dBm,
            19040337,Hz,              -21.35, dBm,
            19374378,Hz,              -21.41, dBm,
            19708419,Hz,              -21.43, dBm,
            20042460,Hz,              -21.45, dBm,
            20376501,Hz,              -21.50, dBm,
            20710542,Hz,              -21.55, dBm,
            21044583,Hz,              -21.60, dBm,
            21378624,Hz,              -21.59, dBm,
            21712665,Hz,              -21.69, dBm,
            22046706,Hz,              -21.72, dBm,
            22380747,Hz,              -21.74, dBm,
            22714788,Hz,              -21.82, dBm,
            23048829,Hz,              -21.81, dBm,
            23382870,Hz,              -21.88, dBm,
            23716911,Hz,              -21.94, dBm,
            24050952,Hz,              -21.99, dBm,
            24384993,Hz,              -22.07, dBm,
            24719034,Hz,              -22.09, dBm,
            25053075,Hz,              -22.18, dBm,
            25387116,Hz,              -22.30, dBm,
            25721157,Hz,              -22.35, dBm,
            26055198,Hz,              -22.41, dBm,
            26389239,Hz,              -22.50, dBm,
            26723280,Hz,              -22.59, dBm,
            27057321,Hz,              -22.61, dBm,
            27391362,Hz,              -22.73, dBm,
            27725403,Hz,              -22.77, dBm,
            28059444,Hz,              -22.96, dBm,
            28393485,Hz,              -23.04, dBm,
            28727526,Hz,              -23.18, dBm,
            29061567,Hz,              -23.33, dBm,
            29395608,Hz,              -23.39, dBm,
            29729649,Hz,              -23.55, dBm,
            30063690,Hz,              -23.62, dBm,
            30397731,Hz,              -23.77, dBm,
            30731772,Hz,              -23.88, dBm,
            31065813,Hz,              -24.07, dBm,
            31399854,Hz,              -24.20, dBm,
            31733895,Hz,              -24.40, dBm,
            32067936,Hz,              -24.55, dBm,
            32401977,Hz,              -24.76, dBm,
            32736018,Hz,              -25.05, dBm,
            33070059,Hz,              -25.12, dBm,
            33404100,Hz,              -25.43, dBm,
            33738141,Hz,              -25.64, dBm,
            34072182,Hz,              -26.03, dBm,
            34406223,Hz,              -26.38, dBm,
            34740264,Hz,              -26.75, dBm,
            35074305,Hz,              -27.04, dBm,
            35408346,Hz,              -27.65, dBm,
            35742387,Hz,              -27.90, dBm,
            36076428,Hz,              -28.43, dBm,
            36410469,Hz,              -29.26, dBm,
            36744510,Hz,              -29.92, dBm,
            37078551,Hz,              -30.51, dBm,
            37412592,Hz,              -31.25, dBm,
            37746633,Hz,              -32.29, dBm,
            38080674,Hz,              -33.07, dBm,
            38414715,Hz,              -34.86, dBm,
            38748756,Hz,              -35.84, dBm,
            39082797,Hz,              -37.13, dBm,
            39416838,Hz,              -39.30, dBm,
            39750879,Hz,              -40.01, dBm,
            40084920,Hz,              -38.90, dBm,
            40418961,Hz,              -37.29, dBm,
            40753002,Hz,              -35.97, dBm,
            41087043,Hz,              -34.26, dBm,
            41421084,Hz,              -32.91, dBm,
            41755125,Hz,              -31.59, dBm,
            42089166,Hz,              -30.43, dBm,
            42423207,Hz,              -29.58, dBm,
            42757248,Hz,              -28.65, dBm,
            43091289,Hz,              -27.91, dBm,
            43425330,Hz,              -27.22, dBm,
            43759371,Hz,              -26.62, dBm,
            44093412,Hz,              -26.06, dBm,
            44427453,Hz,              -25.51, dBm,
            44761494,Hz,              -25.14, dBm,
