Trace1,
Freq,,Amp,,
                   0,Hz,               -2.84, dBm,
              334041,Hz,               -2.85, dBm,
              668082,Hz,               -6.00, dBm,
             1002123,Hz,              -16.76, dBm,
             1336164,Hz,              -20.60, dBm,
             1670205,Hz,              -21.55, dBm,
             2004246,Hz,              -20.95, dBm,
             2338287,Hz,              -20.72, dBm,
             2672328,Hz,              -20.68, dBm,
             3006369,Hz,              -20.92, dBm,
             3340410,Hz,              -20.74, dBm,
             3674451,Hz,              -21.52, dBm,
             4008492,Hz,              -21.54, dBm,
             4342533,Hz,              -21.40, dBm,
             4676574,Hz,              -21.28, dBm,
             5010615,Hz,              -21.16, dBm,
             5344656,Hz,              -21.07, dBm,
             5678697,Hz,              -21.04, dBm,
             6012738,Hz,              -20.97, dBm,
             6346779,Hz,              -21.00, dBm,
             6680820,Hz,              -20.96, dBm,
             7014861,Hz,              -20.93, dBm,
             7348902,Hz,              -20.97, dBm,
             7682943,Hz,              -20.93, dBm,
             8016984,Hz,              -20.90, dBm,
             8351025,Hz,              -20.96, dBm,
             8685066,Hz,              -20.92, dBm,
             9019107,Hz,              -20.94, dBm,
             9353148,Hz,              -20.94, dBm,
             9687189,Hz,              -20.95, dBm,
            10021230,Hz,              -20.96, dBm,
            10355271,Hz,              -20.98, dBm,
            10689312,Hz,              -20.99, dBm,
            11023353,Hz,              -21.04, dBm,
            11357394,Hz,              -21.00, dBm,
            11691435,Hz,              -21.06, dBm,
            12025476,Hz,              -21.09, dBm,
            12359517,Hz,              -21.17, dBm,
            12693558,Hz,              -21.17, dBm,
            13027599,Hz,              -21.26, dBm,
            13361640,Hz,              -21.19, dBm,
            13695681,Hz,              -21.20, dBm,
            14029722,Hz,              -21.19, dBm,
            14363763,Hz,              -21.22, dBm,
            14697804,Hz,              -21.16, dBm,
            15031845,Hz,              -21.24, dBm,
            15365886,Hz,              -21.27, dBm,
            15699927,Hz,              -21.28, dBm,
            16033968,Hz,              -21.34, dBm,
            16368009,Hz,              -21.38, dBm,
            16702050,Hz,              -21.40, dBm,
            17036091,Hz,              -21.46, dBm,
            17370132,Hz,              -21.47, dBm,
            17704173,Hz,              -21.50, dBm,
            18038214,Hz,              -21.55, dBm,
            18372255,Hz,              -21.55, dBm,
            18706296,Hz,              -21.60, dBm,
            19040337,Hz,              -21.68, dBm,
            19374378,Hz,              -21.72, dBm,
            19708419,Hz,              -21.80, dBm,
            20042460,Hz,              -21.81, dBm,
            20376501,Hz,              -21.88, dBm,
            20710542,Hz,              -21.90, dBm,
            21044583,Hz,              -21.98, dBm,
            21378624,Hz,              -22.01, dBm,
            21712665,Hz,              -22.16, dBm,
            22046706,Hz,              -22.19, dBm,
            22380747,Hz,              -22.23, dBm,
            22714788,Hz,              -22.35, dBm,
            23048829,Hz,              -22.37, dBm,
            23382870,Hz,              -22.45, dBm,
            23716911,Hz,              -22.52, dBm,
            24050952,Hz,              -22.63, dBm,
            24384993,Hz,              -22.70, dBm,
            24719034,Hz,              -22.85, dBm,
            25053075,Hz,              -23.01, dBm,
            25387116,Hz,              -23.08, dBm,
            25721157,Hz,              -23.27, dBm,
            26055198,Hz,              -23.39, dBm,
            26389239,Hz,              -23.54, dBm,
            26723280,Hz,              -23.73, dBm,
            27057321,Hz,              -23.78, dBm,
            27391362,Hz,              -24.01, dBm,
            27725403,Hz,              -24.23, dBm,
            28059444,Hz,              -24.31, dBm,
            28393485,Hz,              -24.43, dBm,
            28727526,Hz,              -24.66, dBm,
            29061567,Hz,              -25.03, dBm,
            29395608,Hz,              -25.25, dBm,
            29729649,Hz,              -25.60, dBm,
            30063690,Hz,              -25.93, dBm,
            30397731,Hz,              -26.10, dBm,
            30731772,Hz,              -26.44, dBm,
            31065813,Hz,              -26.98, dBm,
            31399854,Hz,              -27.09, dBm,
            31733895,Hz,              -27.81, dBm,
            32067936,Hz,              -28.32, dBm,
            32401977,Hz,              -28.79, dBm,
            32736018,Hz,              -29.69, dBm,
            33070059,Hz,              -30.09, dBm,
            33404100,Hz,              -30.67, dBm,
            33738141,Hz,              -31.87, dBm,
            34072182,Hz,              -32.78, dBm,
            34406223,Hz,              -34.51, dBm,
            34740264,Hz,              -35.76, dBm,
            35074305,Hz,              -37.06, dBm,
            35408346,Hz,              -38.75, dBm,
            35742387,Hz,              -38.73, dBm,
            36076428,Hz,              -37.88, dBm,
            36410469,Hz,              -37.03, dBm,
            36744510,Hz,              -35.78, dBm,
            37078551,Hz,              -33.66, dBm,
            37412592,Hz,              -32.82, dBm,
            37746633,Hz,              -31.23, dBm,
            38080674,Hz,              -30.34, dBm,
            38414715,Hz,              -29.50, dBm,
            38748756,Hz,              -28.71, dBm,
            39082797,Hz,              -27.66, dBm,
            39416838,Hz,              -27.08, dBm,
            39750879,Hz,              -26.62, dBm,
            40084920,Hz,              -26.01, dBm,
            40418961,Hz,              -25.51, dBm,
            40753002,Hz,              -25.23, dBm,
            41087043,Hz,              -24.62, dBm,
            41421084,Hz,              -24.27, dBm,
            41755125,Hz,              -24.04, dBm,
            42089166,Hz,              -23.56, dBm,
            42423207,Hz,              -23.45, dBm,
            42757248,Hz,              -23.15, dBm,
            43091289,Hz,              -22.90, dBm,
            43425330,Hz,              -22.68, dBm,
            43759371,Hz,              -22.59, dBm,
            44093412,Hz,              -22.33, dBm,
            44427453,Hz,              -22.18, dBm,
            44761494,Hz,              -22.02, dBm,
            45095535,Hz,              -21.85, dBm,
            45429576,Hz,              -21.80, dBm,
            45763617,Hz,              -21.76, dBm,
            46097658,Hz,              -21.58, dBm,
            46431699,Hz,              -21.52, dBm,
            46765740,Hz,              -21.46, dBm,
            47099781,Hz,              -21.35, dBm,
            47433822,Hz,              -21.27, dBm,
            47767863,Hz,              -21.22, dBm,
            48101904,Hz,              -21.20, dBm,
            48435945,Hz,              -21.12, dBm,
            48769986,Hz,              -21.11, dBm,
            49104027,Hz,              -21.05, dBm,
            49438068,Hz,              -20.95, dBm,
            49772109,Hz,              -20.95, dBm,
            50106150,Hz,              -20.90, dBm,
            50440191,Hz,              -20.91, dBm,
            50774232,Hz,              -20.88, dBm,
            51108273,Hz,              -20.79, dBm,
            51442314,Hz,              -20.88, dBm,
            51776355,Hz,              -20.85, dBm,
            52110396,Hz,              -20.78, dBm,
            52444437,Hz,              -20.76, dBm,
            52778478,Hz,              -20.73, dBm,
            53112519,Hz,              -20.77, dBm,
            53446560,Hz,              -20.79, dBm,
            53780601,Hz,              -20.73, dBm,
            54114642,Hz,              -20.78, dBm,
            54448683,Hz,              -20.76, dBm,
            54782724,Hz,              -20.77, dBm,
            55116765,Hz,              -20.80, dBm,
            55450806,Hz,              -20.83, dBm,
            55784847,Hz,              -20.92, dBm,
            56118888,Hz,              -20.93, dBm,
            56452929,Hz,              -21.04, dBm,
            56786970,Hz,              -21.05, dBm,
            57121011,Hz,              -21.11, dBm,
            57455052,Hz,              -21.06, dBm,
            57789093,Hz,              -21.00, dBm,
            58123134,Hz,              -20.86, dBm,
            58457175,Hz,              -20.84, dBm,
            58791216,Hz,              -20.81, dBm,
            59125257,Hz,              -20.83, dBm,
            59459298,Hz,              -20.74, dBm,
            59793339,Hz,              -20.78, dBm,
            60127380,Hz,              -20.80, dBm,
            60461421,Hz,              -20.75, dBm,
            60795462,Hz,              -20.79, dBm,
            61129503,Hz,              -20.78, dBm,
            61463544,Hz,              -20.81, dBm,
            61797585,Hz,              -20.82, dBm,
            62131626,Hz,              -20.79, dBm,
            62465667,Hz,              -20.83, dBm,
            62799708,Hz,              -20.86, dBm,
            63133749,Hz,              -20.87, dBm,
            63467790,Hz,              -20.86, dBm,
            63801831,Hz,              -20.86, dBm,
            64135872,Hz,              -20.86, dBm,
            64469913,Hz,              -20.91, dBm,
            64803954,Hz,              -20.91, dBm,
            65137995,Hz,              -20.91, dBm,
            65472036,Hz,              -20.91, dBm,
            65806077,Hz,              -20.94, dBm,
            66140118,Hz,              -20.99, dBm,
            66474159,Hz,              -20.98, dBm,
            66808200,Hz,              -20.98, dBm,
            67142241,Hz,              -21.08, dBm,
            67476282,Hz,              -21.02, dBm,
            67810323,Hz,              -21.12, dBm,
            68144364,Hz,              -21.16, dBm,
            68478405,Hz,              -21.15, dBm,
            68812446,Hz,              -21.23, dBm,
            69146487,Hz,              -21.24, dBm,
            69480528,Hz,              -21.27, dBm,
            69814569,Hz,              -21.30, dBm,
            70148610,Hz,              -21.35, dBm,
            70482651,Hz,              -21.33, dBm,
            70816692,Hz,              -21.43, dBm,
            71150733,Hz,              -21.33, dBm,
            71484774,Hz,              -21.51, dBm,
            71818815,Hz,              -21.53, dBm,
            72152856,Hz,              -21.61, dBm,
            72486897,Hz,              -21.62, dBm,
            72820938,Hz,              -21.64, dBm,
            73154979,Hz,              -21.64, dBm,
            73489020,Hz,              -21.69, dBm,
            73823061,Hz,              -21.70, dBm,
            74157102,Hz,              -21.73, dBm,
            74491143,Hz,              -21.77, dBm,
            74825184,Hz,              -21.81, dBm,
            75159225,Hz,              -21.78, dBm,
            75493266,Hz,              -21.74, dBm,
            75827307,Hz,              -21.75, dBm,
            76161348,Hz,              -21.70, dBm,
            76495389,Hz,              -21.63, dBm,
            76829430,Hz,              -21.69, dBm,
            77163471,Hz,              -21.71, dBm,
            77497512,Hz,              -21.70, dBm,
            77831553,Hz,              -21.66, dBm,
            78165594,Hz,              -21.79, dBm,
            78499635,Hz,              -21.89, dBm,
            78833676,Hz,              -22.00, dBm,
            79167717,Hz,              -21.95, dBm,
            79501758,Hz,              -22.10, dBm,
            79835799,Hz,              -22.26, dBm,
            80169840,Hz,              -22.24, dBm,
            80503881,Hz,              -22.34, dBm,
            80837922,Hz,              -22.36, dBm,
            81171963,Hz,              -22.37, dBm,
            81506004,Hz,              -22.38, dBm,
            81840045,Hz,              -22.36, dBm,
            82174086,Hz,              -22.41, dBm,
            82508127,Hz,              -22.39, dBm,
            82842168,Hz,              -22.56, dBm,
            83176209,Hz,              -22.65, dBm,
            83510250,Hz,              -22.68, dBm,
            83844291,Hz,              -22.87, dBm,
            84178332,Hz,              -22.99, dBm,
            84512373,Hz,              -23.07, dBm,
            84846414,Hz,              -23.10, dBm,
            85180455,Hz,              -23.15, dBm,
            85514496,Hz,              -23.21, dBm,
            85848537,Hz,              -23.28, dBm,
            86182578,Hz,              -23.25, dBm,
            86516619,Hz,              -23.29, dBm,
            86850660,Hz,              -23.30, dBm,
            87184701,Hz,              -23.20, dBm,
            87518742,Hz,              -23.13, dBm,
            87852783,Hz,              -23.12, dBm,
            88186824,Hz,              -23.08, dBm,
            88520865,Hz,              -22.97, dBm,
            88854906,Hz,              -23.00, dBm,
            89188947,Hz,              -22.80, dBm,
            89522988,Hz,              -22.87, dBm,
            89857029,Hz,              -22.79, dBm,
