Trace1,
Freq,,Amp,,
                   0,Hz,               -2.84, dBm,
              334041,Hz,               -2.85, dBm,
              668082,Hz,               -5.99, dBm,
             1002123,Hz,              -16.74, dBm,
             1336164,Hz,              -20.59, dBm,
             1670205,Hz,              -21.57, dBm,
             2004246,Hz,              -20.86, dBm,
             2338287,Hz,              -20.73, dBm,
             2672328,Hz,              -20.63, dBm,
             3006369,Hz,              -20.93, dBm,
             3340410,Hz,              -20.75, dBm,
             3674451,Hz,              -21.42, dBm,
             4008492,Hz,              -21.39, dBm,
             4342533,Hz,              -21.36, dBm,
             4676574,Hz,              -21.22, dBm,
             5010615,Hz,              -21.09, dBm,
             5344656,Hz,              -21.02, dBm,
             5678697,Hz,              -20.97, dBm,
             6012738,Hz,              -20.94, dBm,
             6346779,Hz,              -20.93, dBm,
             6680820,Hz,              -20.92, dBm,
             7014861,Hz,              -20.87, dBm,
             7348902,Hz,              -20.87, dBm,
             7682943,Hz,              -20.92, dBm,
             8016984,Hz,              -20.85, dBm,
             8351025,Hz,              -20.85, dBm,
             8685066,Hz,              -20.87, dBm,
             9019107,Hz,              -20.91, dBm,
             9353148,Hz,              -20.88, dBm,
             9687189,Hz,              -20.88, dBm,
            10021230,Hz,              -20.86, dBm,
            10355271,Hz,              -20.89, dBm,
            10689312,Hz,              -20.89, dBm,
            11023353,Hz,              -20.84, dBm,
            11357394,Hz,              -20.93, dBm,
            11691435,Hz,              -20.98, dBm,
            12025476,Hz,              -20.96, dBm,
            12359517,Hz,              -21.04, dBm,
            12693558,Hz,              -21.08, dBm,
            13027599,Hz,              -21.15, dBm,
            13361640,Hz,              -21.06, dBm,
            13695681,Hz,              -21.08, dBm,
            14029722,Hz,              -21.06, dBm,
            14363763,Hz,              -21.07, dBm,
            14697804,Hz,              -21.10, dBm,
            15031845,Hz,              -21.15, dBm,
            15365886,Hz,              -21.11, dBm,
            15699927,Hz,              -21.13, dBm,
            16033968,Hz,              -21.18, dBm,
            16368009,Hz,              -21.17, dBm,
            16702050,Hz,              -21.15, dBm,
            17036091,Hz,              -21.15, dBm,
            17370132,Hz,              -21.23, dBm,
            17704173,Hz,              -21.28, dBm,
            18038214,Hz,              -21.28, dBm,
            18372255,Hz,              -21.32, dBm,
            18706296,Hz,              -21.39, dBm,
            19040337,Hz,              -21.41, dBm,
            19374378,Hz,              -21.40, dBm,
            19708419,Hz,              -21.45, dBm,
            20042460,Hz,              -21.48, dBm,
            20376501,Hz,              -21.48, dBm,
            20710542,Hz,              -21.48, dBm,
            21044583,Hz,              -21.59, dBm,
            21378624,Hz,              -21.62, dBm,
            21712665,Hz,              -21.61, dBm,
            22046706,Hz,              -21.71, dBm,
            22380747,Hz,              -21.74, dBm,
            22714788,Hz,              -21.80, dBm,
            23048829,Hz,              -21.83, dBm,
            23382870,Hz,              -21.85, dBm,
            23716911,Hz,              -21.96, dBm,
            24050952,Hz,              -22.00, dBm,
            24384993,Hz,              -22.03, dBm,
            24719034,Hz,              -22.17, dBm,
            25053075,Hz,              -22.21, dBm,
            25387116,Hz,              -22.26, dBm,
            25721157,Hz,              -22.37, dBm,
            26055198,Hz,              -22.42, dBm,
            26389239,Hz,              -22.48, dBm,
            26723280,Hz,              -22.55, dBm,
            27057321,Hz,              -22.67, dBm,
            27391362,Hz,              -22.78, dBm,
            27725403,Hz,              -22.86, dBm,
            28059444,Hz,              -22.94, dBm,
            28393485,Hz,              -23.02, dBm,
            28727526,Hz,              -23.20, dBm,
            29061567,Hz,              -23.31, dBm,
            29395608,Hz,              -23.39, dBm,
            29729649,Hz,              -23.56, dBm,
            30063690,Hz,              -23.60, dBm,
            30397731,Hz,              -23.83, dBm,
            30731772,Hz,              -23.84, dBm,
            31065813,Hz,              -24.08, dBm,
            31399854,Hz,              -24.25, dBm,
            31733895,Hz,              -24.46, dBm,
            32067936,Hz,              -24.53, dBm,
            32401977,Hz,              -24.69, dBm,
            32736018,Hz,              -24.95, dBm,
            33070059,Hz,              -25.27, dBm,
            33404100,Hz,              -25.39, dBm,
            33738141,Hz,              -25.84, dBm,
            34072182,Hz,              -25.96, dBm,
            34406223,Hz,              -26.39, dBm,
            34740264,Hz,              -26.80, dBm,
            35074305,Hz,              -27.09, dBm,
            35408346,Hz,              -27.67, dBm,
            35742387,Hz,              -28.03, dBm,
            36076428,Hz,              -28.55, dBm,
            36410469,Hz,              -29.19, dBm,
            36744510,Hz,              -29.71, dBm,
            37078551,Hz,              -30.49, dBm,
            37412592,Hz,              -31.58, dBm,
            37746633,Hz,              -32.27, dBm,
            38080674,Hz,              -33.40, dBm,
            38414715,Hz,              -35.06, dBm,
            38748756,Hz,              -35.83, dBm,
            39082797,Hz,              -37.15, dBm,
            39416838,Hz,              -38.85, dBm,
            39750879,Hz,              -39.45, dBm,
            40084920,Hz,              -38.24, dBm,
            40418961,Hz,              -36.96, dBm,
            40753002,Hz,              -35.65, dBm,
            41087043,Hz,              -33.73, dBm,
            41421084,Hz,              -32.53, dBm,
            41755125,Hz,              -31.40, dBm,
            42089166,Hz,              -30.29, dBm,
            42423207,Hz,              -29.44, dBm,
            42757248,Hz,              -28.53, dBm,
            43091289,Hz,              -27.72, dBm,
            43425330,Hz,              -27.04, dBm,
            43759371,Hz,              -26.55, dBm,
            44093412,Hz,              -25.91, dBm,
            44427453,Hz,              -25.40, dBm,
            44761494,Hz,              -25.09, dBm,
            45095535,Hz,              -24.56, dBm,
            45429576,Hz,              -24.22, dBm,
            45763617,Hz,              -23.91, dBm,
            46097658,Hz,              -23.59, dBm,
            46431699,Hz,              -23.36, dBm,
            46765740,Hz,              -23.13, dBm,
            47099781,Hz,              -22.79, dBm,
            47433822,Hz,              -22.58, dBm,
            47767863,Hz,              -22.47, dBm,
            48101904,Hz,              -22.31, dBm,
            48435945,Hz,              -22.19, dBm,
            48769986,Hz,              -22.02, dBm,
            49104027,Hz,              -21.88, dBm,
            49438068,Hz,              -21.77, dBm,
            49772109,Hz,              -21.67, dBm,
            50106150,Hz,              -21.60, dBm,
            50440191,Hz,              -21.53, dBm,
            50774232,Hz,              -21.40, dBm,
            51108273,Hz,              -21.34, dBm,
            51442314,Hz,              -21.24, dBm,
            51776355,Hz,              -21.24, dBm,
            52110396,Hz,              -21.10, dBm,
            52444437,Hz,              -21.14, dBm,
            52778478,Hz,              -21.08, dBm,
            53112519,Hz,              -20.94, dBm,
            53446560,Hz,              -21.00, dBm,
            53780601,Hz,              -20.93, dBm,
            54114642,Hz,              -20.97, dBm,
            54448683,Hz,              -20.95, dBm,
            54782724,Hz,              -20.88, dBm,
            55116765,Hz,              -20.89, dBm,
            55450806,Hz,              -20.89, dBm,
            55784847,Hz,              -20.94, dBm,
            56118888,Hz,              -20.96, dBm,
            56452929,Hz,              -20.96, dBm,
            56786970,Hz,              -20.96, dBm,
            57121011,Hz,              -21.02, dBm,
            57455052,Hz,              -20.99, dBm,
            57789093,Hz,              -20.91, dBm,
            58123134,Hz,              -20.89, dBm,
            58457175,Hz,              -20.83, dBm,
            58791216,Hz,              -20.82, dBm,
            59125257,Hz,              -20.80, dBm,
            59459298,Hz,              -20.79, dBm,
            59793339,Hz,              -20.77, dBm,
            60127380,Hz,              -20.69, dBm,
            60461421,Hz,              -20.76, dBm,
            60795462,Hz,              -20.74, dBm,
            61129503,Hz,              -20.78, dBm,
            61463544,Hz,              -20.71, dBm,
            61797585,Hz,              -20.77, dBm,
            62131626,Hz,              -20.82, dBm,
            62465667,Hz,              -20.73, dBm,
            62799708,Hz,              -20.82, dBm,
            63133749,Hz,              -20.79, dBm,
            63467790,Hz,              -20.75, dBm,
            63801831,Hz,              -20.83, dBm,
            64135872,Hz,              -20.78, dBm,
            64469913,Hz,              -20.81, dBm,
            64803954,Hz,              -20.87, dBm,
            65137995,Hz,              -20.84, dBm,
            65472036,Hz,              -20.86, dBm,
            65806077,Hz,              -20.89, dBm,
            66140118,Hz,              -20.90, dBm,
            66474159,Hz,              -20.90, dBm,
            66808200,Hz,              -20.88, dBm,
            67142241,Hz,              -20.97, dBm,
            67476282,Hz,              -21.01, dBm,
            67810323,Hz,              -21.02, dBm,
            68144364,Hz,              -21.08, dBm,
            68478405,Hz,              -21.05, dBm,
            68812446,Hz,              -21.08, dBm,
            69146487,Hz,              -21.11, dBm,
            69480528,Hz,              -21.17, dBm,
            69814569,Hz,              -21.21, dBm,
            70148610,Hz,              -21.24, dBm,
            70482651,Hz,              -21.27, dBm,
            70816692,Hz,              -21.28, dBm,
            71150733,Hz,              -21.32, dBm,
            71484774,Hz,              -21.44, dBm,
            71818815,Hz,              -21.47, dBm,
            72152856,Hz,              -21.47, dBm,
            72486897,Hz,              -21.52, dBm,
            72820938,Hz,              -21.48, dBm,
            73154979,Hz,              -21.54, dBm,
            73489020,Hz,              -21.61, dBm,
            73823061,Hz,              -21.63, dBm,
            74157102,Hz,              -21.67, dBm,
            74491143,Hz,              -21.72, dBm,
            74825184,Hz,              -21.69, dBm,
            75159225,Hz,              -21.73, dBm,
            75493266,Hz,              -21.70, dBm,
            75827307,Hz,              -21.70, dBm,
            76161348,Hz,              -21.66, dBm,
            76495389,Hz,              -21.63, dBm,
            76829430,Hz,              -21.53, dBm,
            77163471,Hz,              -21.63, dBm,
            77497512,Hz,              -21.63, dBm,
            77831553,Hz,              -21.71, dBm,
            78165594,Hz,              -21.75, dBm,
            78499635,Hz,              -21.82, dBm,
            78833676,Hz,              -21.88, dBm,
            79167717,Hz,              -22.03, dBm,
            79501758,Hz,              -22.10, dBm,
            79835799,Hz,              -22.21, dBm,
            80169840,Hz,              -22.27, dBm,
            80503881,Hz,              -22.30, dBm,
            80837922,Hz,              -22.36, dBm,
            81171963,Hz,              -22.41, dBm,
            81506004,Hz,              -22.44, dBm,
            81840045,Hz,              -22.39, dBm,
            82174086,Hz,              -22.41, dBm,
            82508127,Hz,              -22.48, dBm,
            82842168,Hz,              -22.59, dBm,
            83176209,Hz,              -22.60, dBm,
            83510250,Hz,              -22.74, dBm,
            83844291,Hz,              -23.00, dBm,
            84178332,Hz,              -23.09, dBm,
            84512373,Hz,              -23.29, dBm,
            84846414,Hz,              -23.38, dBm,
            85180455,Hz,              -23.42, dBm,
            85514496,Hz,              -23.41, dBm,
            85848537,Hz,              -23.47, dBm,
            86182578,Hz,              -23.49, dBm,
            86516619,Hz,              -23.49, dBm,
            86850660,Hz,              -23.47, dBm,
            87184701,Hz,              -23.38, dBm,
            87518742,Hz,              -23.20, dBm,
            87852783,Hz,              -23.05, dBm,
            88186824,Hz,              -23.03, dBm,
            88520865,Hz,              -22.85, dBm,
            88854906,Hz,              -22.81, dBm,
            89188947,Hz,              -22.69, dBm,
            89522988,Hz,              -22.63, dBm,
            89857029,Hz,              -22.56, dBm,
